file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0015,-224.2187347,-11.97916603,44.59930617,834.782653,790.1833468,0.574380696,0.726895471,-19.18945122,2,monochromator,-70,0.398861356,0.555934886
2020_02_13_0015,-222.0912323,-10.64220619,45.0265411,939.6547877,894.6282466,0.626956761,0.700801437,-19.85211945,2,monochromator,-70,0.494547976,0.52830877
2020_02_13_0016,-221.7051086,-11.00667286,45.10495974,908.5397675,863.4348077,0.547838807,0.634487748,-18.89546585,2,control,-70,0.465970279,0.458101548
2020_02_13_0016,-218.2413635,-11.17960548,45.82082809,894.4859471,848.665119,0.517917395,0.610272984,-18.08675003,2,control,-70,0.45243911,0.432465041
2020_02_13_0016,-217.6615295,-9.791056633,45.94289134,1021.340227,975.3973352,0.58938992,0.604256234,-19.88728714,2,control,-70,0.568544133,0.426095025
2020_02_13_0016,-219.6705933,-11.39831543,45.52270676,877.3226238,831.7999171,0.58558166,0.70399341,-18.97684479,2,control,-70,0.436988148,0.531688156
2020_02_13_0016,-218.7601624,-10.48278809,45.71216209,953.944687,908.232525,0.555153489,0.61124599,-18.91072464,2,control,-70,0.507011461,0.433495176
2020_02_13_0016,-218.7499847,-11.5102129,45.7142889,868.7936608,823.0793719,0.547111809,0.664713305,-19.16503716,2,control,-70,0.428998869,0.490101764
2020_02_13_0016,-214.9403687,-12.31892681,46.52453172,811.7590236,765.2344919,0.553145587,0.722844557,-26.6367569,2,control,-70,0.3760046,0.551646127
2020_02_13_0016,-213.2008667,-12.59867191,46.90412452,793.7344562,746.8303317,0.528867364,0.708149283,-22.51688385,2,control,-70,0.35914373,0.536088037
2020_02_13_0016,-224.6246185,-8.382159233,44.51871779,1193.010025,1148.491308,0.639688611,0.556981674,-28.18298149,2,control,-70,0.727123223,0.376044792
2020_02_13_0016,-216.1152954,-9.38415432,46.27159767,1065.626125,1019.354527,0.547505915,0.537110398,-21.31143951,2,control,-70,0.608815272,0.355006797
2020_02_13_0016,-213.7400208,-12.10021877,46.78581,826.4313388,779.6455288,0.555965126,0.71309987,-19.17012405,2,control,-70,0.389207192,0.541329292
2020_02_13_0016,-213.1652679,-13.98213482,46.91195755,715.1983677,668.2864102,0.56413883,0.844157267,-21.69799614,2,control,-70,0.287186148,0.680081576
