file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC
2020_02_13_0001,-309.1216125,-37.98895645,32.34972773,263.2343958,230.8846681,0.352989942,1.528858303,67.82122803,1,monochromator,-10
2020_02_13_0001,-306.1226196,-37.32084274,32.66664846,267.9467897,235.2801412,0.345219404,1.467269621,68.57083893,1,monochromator,-10
2020_02_13_0001,-304.5917969,-42.8575325,32.83082507,233.331212,200.5003869,0.400578737,1.997895084,72.67481232,1,monochromator,-10
2020_02_13_0003,-270.7242126,-49.24453354,36.93795949,203.0682247,166.1302652,0.292945564,1.76334856,111.0423431,1,control,-10
2020_02_13_0003,-256.1565552,-46.813797,39.03862618,213.6122392,174.573613,0.311447084,1.784044442,113.8338699,1,control,-10
2020_02_13_0003,-255.5238037,-39.01004791,39.1352972,256.3442122,217.208915,0.307739943,1.416792415,97.18120575,1,control,-10
2020_02_13_0003,-243.0891418,-39.85768127,41.13717266,250.8926681,209.7554955,0.354525954,1.690186723,110.9098587,1,control,-10
2020_02_13_0003,-252.447876,-38.3339653,39.6121376,260.8652646,221.253127,0.324809313,1.468043943,97.36668396,1,control,-10
2020_02_13_0003,-251.2377777,-42.49496841,39.80293128,235.3219775,195.5190462,0.316632807,1.619447381,101.8955841,1,control,-10
2020_02_13_0003,-247.2153625,-44.16829681,40.45056058,226.4067379,185.9561773,0.264623612,1.42304287,99.04348755,1,control,-10
2020_02_13_0003,-250.8680267,-41.15644836,39.86159628,242.9752906,203.1136943,0.306025714,1.506671989,96.49515533,1,control,-10
2020_02_13_0003,-246.1002197,-36.61719131,40.63385238,273.0957684,232.4619161,0.316022843,1.359460717,103.7190704,1,control,-10
2020_02_13_0003,-251.7903442,-47.82905197,39.71558175,209.0779471,169.3623654,0.288209289,1.701731602,110.6874847,1,control,-10
2020_02_13_0003,-254.4640961,-45.67453003,39.2982749,218.9404027,179.6421278,0.315822423,1.75806436,103.5326538,1,control,-10
2020_02_13_0003,-247.6818237,-40.20646667,40.37437972,248.7162098,208.3418301,0.321320802,1.542276949,110.6713943,1,control,-10
2020_02_13_0005,-291.1447144,-39.49679947,34.34718031,253.1850716,218.8378913,0.366599113,1.675208579,90.9633255,1,control,-10
2020_02_13_0005,-288.794342,-35.51677704,34.62671716,281.557079,246.9303619,0.361879945,1.465514172,87.85600281,1,control,-10
2020_02_13_0005,-290.4920349,-39.41783905,34.42435178,253.6922429,219.2678911,0.37084648,1.691294052,90.7201004,1,control,-10
2020_02_13_0005,-292.2412415,-35.03911591,34.21830523,285.3953287,251.1770234,0.368869394,1.468563442,93.59694672,1,control,-10
2020_02_13_0005,-287.8001404,-36.29869843,34.74633468,275.4919717,240.745637,0.342482448,1.422590465,92.59487915,1,control,-10
2020_02_13_0005,-291.5038757,-38.86718369,34.30486121,257.2864574,222.9815962,0.364837766,1.636178823,96.96208191,1,control,-10
2020_02_13_0005,-293.1888733,-39.94182587,34.10770637,250.3641179,216.2564115,0.374879956,1.733497535,82.4238739,1,control,-10
2020_02_13_0005,-287.2723389,-37.18081284,34.81017365,268.9559275,234.1457538,0.367801368,1.570822286,92.62676239,1,control,-10
2020_02_13_0005,-283.9679871,-33.33323669,35.21523712,300.0008698,264.7856326,0.332312167,1.255023407,84.94999695,1,control,-10
2020_02_13_0005,-285.638855,-36.19430161,35.00924271,276.2865854,241.2773427,0.315041482,1.305723442,94.35578918,1,control,-10
2020_02_13_0006,-277.8588257,-34.81277466,35.98949926,287.2508755,251.2613763,0.373449624,1.486299363,81.56977081,1,control,-10
2020_02_13_0006,-280.1724548,-39.03477478,35.69230246,256.1818291,220.4895266,0.447571456,2.029898941,102.4380875,1,monochromator,-10
2020_02_13_0006,-278.8416443,-41.51664352,35.86264894,240.8672559,205.004607,0.407516003,1.987838267,100.8631516,1,monochromator,-10
2020_02_13_0006,-280.0566406,-37.66979218,35.70706261,265.4646979,229.7576353,0.368566781,1.60415466,99.63674927,1,monochromator,-10
2020_02_13_0006,-284.1768188,-38.09122467,35.18935866,262.5276579,227.3382993,0.387847453,1.706036575,104.9776077,1,monochromator,-10
2020_02_13_0006,-279.2814636,-31.73508263,35.80617156,315.1086801,279.3025086,0.35337621,1.265209581,93.73458862,1,monochromator,-10
2020_02_13_0006,-282.2345276,-41.36133575,35.43152599,241.7716889,206.3401629,0.374723583,1.816047725,102.7911835,1,monochromator,-10
2020_02_13_0006,-279.4794006,-35.5259552,35.78081239,281.4843385,245.7035261,0.382496029,1.556738054,88.19522095,1,monochromator,-10
2020_02_13_0006,-284.1676941,-37.98443604,35.1904886,263.2657226,228.075234,0.479662418,2.103088573,86.78000641,1,monochromator,-10
2020_02_13_0006,-279.2518005,-34.21193314,35.80997501,292.2956724,256.4856974,0.398972094,1.555533498,94.92562866,1,monochromator,-10
2020_02_13_0006,-288.8542786,-36.22164154,34.61953221,276.0780455,241.4585133,0.420432359,1.741219861,98.79080963,1,monochromator,-10
2020_02_13_0006,-283.7284546,-32.87805939,35.24496693,304.1542045,268.9092376,0.392653078,1.46016954,100.3788681,1,monochromator,-10
2020_02_13_0006,-281.4781494,-37.49623108,35.52673634,266.6934706,231.1667342,0.365401208,1.580682487,98.37269592,1,monochromator,-10
2020_02_13_0006,-289.175415,-34.08103943,34.58108636,293.4182809,258.8371945,0.359516799,1.388968846,89.59047699,1,monochromator,-10
2020_02_13_0009,-439.552887,-11.11842823,22.7503909,899.4077034,876.6573125,0.183271453,0.20905712,-19.18732071,2,control,-70
2020_02_13_0009,-418.1673279,-11.28905201,23.91387211,885.8139719,861.9000998,0.194016635,0.225103391,-20.18713379,2,control,-70
2020_02_13_0009,-405.1794434,-10.74514866,24.68042287,930.6525501,905.9721272,0.199387074,0.220080803,-23.53147316,2,control,-70
2020_02_13_0009,-395.1987305,-10.52289295,25.30372501,950.3090116,925.0052866,0.203345373,0.21983158,-22.64791679,2,control,-70
2020_02_13_0009,-385.4621582,-9.57539463,25.94288385,1044.343381,1018.400497,0.205504537,0.201791473,-23.22920418,2,control,-70
2020_02_13_0009,-381.5472107,-11.02433777,26.20907641,907.0839637,880.8748873,0.213137686,0.241961361,-23.11585236,2,control,-70
2020_02_13_0009,-375.8883667,-26.21798897,26.60364322,381.4175074,354.8138641,0.210887074,0.594359736,-23.03737831,2,control,-70
2020_02_13_0009,-370.2750854,-12.88194942,27.00694806,776.2800233,749.2730753,0.206058383,0.27501106,-21.69266701,2,control,-70
2020_02_13_0009,-353.5233459,-11.61879063,28.28667502,860.6747743,832.3880993,0.232904434,0.279802696,-19.64556885,2,control,-70
2020_02_13_0009,-346.6719055,-9.603491783,28.84571793,1041.287922,1012.442204,0.222302064,0.219570128,-18.44036674,2,control,-70
2020_02_13_0009,-345.778656,-9.446258545,28.92023503,1058.620188,1029.699953,0.226018146,0.219499035,-16.15978241,2,control,-70
2020_02_13_0009,-337.1640015,-9.24007225,29.65915684,1082.24262,1052.583463,0.233110294,0.221464902,-16.22953796,2,control,-70
2020_02_13_0009,-332.8004456,-10.48459721,30.04803669,953.7800836,923.7320469,0.239521638,0.259297746,-16.07646561,2,control,-70
2020_02_13_0013,-251.5055084,-9.318033218,39.76056056,1073.187846,1033.427286,0.4061535,0.393016041,-13.75325394,2,control,-70
2020_02_13_0013,-250.5085907,-9.358722687,39.9187907,1068.521884,1028.603094,0.42495352,0.413136537,-13.28531837,2,control,-70
2020_02_13_0013,-249.7812653,-9.782336235,40.03502821,1022.250693,982.2156653,0.430567473,0.438363476,-13.76851273,2,control,-70
2020_02_13_0013,-248.4283142,-10.29532242,40.25306065,971.3148937,931.061833,0.427432269,0.459080432,-13.90075588,2,control,-70
2020_02_13_0013,-245.4325104,-9.409585953,40.74439847,1062.746018,1022.001619,0.396383762,0.387850425,-13.84480667,2,control,-70
2020_02_13_0013,-247.0855408,-8.81303978,40.4718138,1134.682272,1094.210458,0.426854312,0.390102571,-13.65661526,2,control,-70
2020_02_13_0013,-247.014328,-9.369622231,40.48348159,1067.278889,1026.795407,0.439038426,0.427581213,-13.23954201,2,control,-70
2020_02_13_0013,-246.1089783,-9.46698761,40.6324063,1056.302217,1015.669811,0.442398697,0.435573345,-14.75524807,2,control,-70
2020_02_13_0013,-244.2931824,-9.839737892,40.9344211,1016.287233,975.3528123,0.441432297,0.452587301,-14.12963772,2,control,-70
2020_02_13_0013,-246.2157898,-9.966168404,40.61477945,1003.394644,962.7798648,0.440462202,0.457490043,-13.30566311,2,control,-70
2020_02_13_0013,-244.0287018,-9.749638557,40.97878621,1025.679049,984.7002624,0.4300524,0.43673432,-13.90584183,2,control,-70
2020_02_13_0013,-243.8506775,-10.83591938,41.00870296,922.8566261,881.8479231,0.403551549,0.457620343,-14.45007229,2,control,-70
2020_02_13_0013,-242.1772919,-10.33964539,41.29206303,967.1511572,925.8590942,0.449073941,0.485034865,-14.41446877,2,control,-70
2020_02_13_0013,-240.0156403,-10.18342495,41.66395152,981.987892,940.3239405,0.421730071,0.448494453,-19.87202835,2,control,-70
2020_02_13_0014,-239.8035278,-9.393727303,41.70080436,1064.540164,1022.839359,0.586472273,0.573376716,-15.10752678,2,control,-70
2020_02_13_0014,-239.8358154,-9.15110302,41.69519045,1092.764444,1051.069253,0.591339529,0.56260758,-15.97794151,2,control,-70
2020_02_13_0014,-238.1160889,-10.96358204,41.99632225,912.1106555,870.1143332,0.576621771,0.662696555,-15.93548203,2,control,-70
2020_02_13_0014,-236.7302246,-10.73081398,42.24217679,931.8957554,889.6535786,0.507910073,0.570907694,-14.83419514,2,control,-70
2020_02_13_0014,-234.3031769,-9.892243385,42.67974567,1010.893041,968.2132955,0.587285101,0.60656583,-14.02481651,2,control,-70
2020_02_13_0014,-233.1865845,-9.834241867,42.88411369,1016.855202,973.9710883,0.532597721,0.54683114,-19.4887886,2,control,-70
2020_02_13_0014,-231.5135193,-6.713487625,43.1940218,1489.538755,1446.344733,0.568318248,0.392934156,-16.38395691,2,control,-70
2020_02_13_0014,-233.8005371,-9.084759712,42.7715014,1100.744578,1057.973077,0.543801725,0.514003368,-15.18979168,2,control,-70
2020_02_13_0014,-235.5059357,-9.678051949,42.46177478,1033.265791,990.804016,0.559335351,0.56452673,-14.73600864,2,control,-70
2020_02_13_0014,-235.0822754,-8.693529129,42.53829849,1150.280841,1107.742543,0.547811806,0.494529898,-20.78644943,2,control,-70
2020_02_13_0014,-231.2550201,-11.69714069,43.24230451,854.909782,811.6674775,0.557335556,0.686655029,-19.45694351,2,control,-70
2020_02_13_0014,-230.0881653,-10.70844746,43.46160085,933.8421877,890.3805869,0.541167319,0.607793259,-19.57370758,2,control,-70
2020_02_13_0015,-229.5235596,-10.48293304,43.56851218,953.9314959,910.3629837,0.59803611,0.656920504,-18.64536667,2,control,-70
2020_02_13_0015,-229.1329346,-11.02818108,43.64278762,906.767846,863.1250584,0.571940005,0.662638628,-18.30356979,2,monochromator,-70
2020_02_13_0015,-227.947113,-10.3597002,43.86982518,965.2788984,921.4090733,0.571995556,0.620783508,-19.36732483,2,monochromator,-70
2020_02_13_0015,-228.819046,-11.3362627,43.70265576,882.124935,838.4222792,0.543957949,0.648787565,-19.59402657,2,monochromator,-70
2020_02_13_0015,-228.9759979,-12.69647408,43.67269972,787.6202433,743.9475436,0.618403494,0.8312461,-19.92536163,2,monochromator,-70
2020_02_13_0015,-227.6018219,-10.93866158,43.9363794,914.1886264,870.252247,0.597344577,0.686403947,-21.29952431,2,monochromator,-70
2020_02_13_0015,-229.8095551,-11.37927818,43.51429164,878.7903626,835.2760709,0.587191999,0.702991525,-17.62695122,2,monochromator,-70
2020_02_13_0015,-229.5410004,-11.05259323,43.56520179,904.7650439,861.1998421,0.596126139,0.69220419,-21.31347466,2,monochromator,-70
2020_02_13_0015,-226.266037,-14.34035301,44.19576236,697.3329033,653.1371409,0.60318923,0.923526151,-26.66364288,2,monochromator,-70
2020_02_13_0015,-227.0402985,-11.20837975,44.04504428,892.1896141,848.1445698,0.599170029,0.706447993,-19.05343056,2,monochromator,-70
2020_02_13_0015,-226.8484802,-12.43489552,44.08228783,804.1885022,760.1062144,0.575698674,0.757392405,-18.63490295,2,monochromator,-70
2020_02_13_0015,-222.6039276,-11.23046875,44.9228372,890.4347826,845.5119454,0.643856764,0.761499311,-19.09528351,2,monochromator,-70
2020_02_13_0015,-222.753891,-8.950659752,44.89259404,1117.236078,1072.343484,0.611714423,0.570446346,-21.26464653,2,monochromator,-70
2020_02_13_0015,-224.2187347,-11.97916603,44.59930617,834.782653,790.1833468,0.574380696,0.726895471,-19.18945122,2,monochromator,-70
2020_02_13_0015,-222.0912323,-10.64220619,45.0265411,939.6547877,894.6282466,0.626956761,0.700801437,-19.85211945,2,monochromator,-70
2020_02_13_0016,-221.7051086,-11.00667286,45.10495974,908.5397675,863.4348077,0.547838807,0.634487748,-18.89546585,2,control,-70
2020_02_13_0016,-218.2413635,-11.17960548,45.82082809,894.4859471,848.665119,0.517917395,0.610272984,-18.08675003,2,control,-70
2020_02_13_0016,-217.6615295,-9.791056633,45.94289134,1021.340227,975.3973352,0.58938992,0.604256234,-19.88728714,2,control,-70
2020_02_13_0016,-219.6705933,-11.39831543,45.52270676,877.3226238,831.7999171,0.58558166,0.70399341,-18.97684479,2,control,-70
2020_02_13_0016,-218.7601624,-10.48278809,45.71216209,953.944687,908.232525,0.555153489,0.61124599,-18.91072464,2,control,-70
2020_02_13_0016,-218.7499847,-11.5102129,45.7142889,868.7936608,823.0793719,0.547111809,0.664713305,-19.16503716,2,control,-70
2020_02_13_0016,-214.9403687,-12.31892681,46.52453172,811.7590236,765.2344919,0.553145587,0.722844557,-26.6367569,2,control,-70
2020_02_13_0016,-213.2008667,-12.59867191,46.90412452,793.7344562,746.8303317,0.528867364,0.708149283,-22.51688385,2,control,-70
2020_02_13_0016,-224.6246185,-8.382159233,44.51871779,1193.010025,1148.491308,0.639688611,0.556981674,-28.18298149,2,control,-70
2020_02_13_0016,-216.1152954,-9.38415432,46.27159767,1065.626125,1019.354527,0.547505915,0.537110398,-21.31143951,2,control,-70
2020_02_13_0016,-213.7400208,-12.10021877,46.78581,826.4313388,779.6455288,0.555965126,0.71309987,-19.17012405,2,control,-70
2020_02_13_0016,-213.1652679,-13.98213482,46.91195755,715.1983677,668.2864102,0.56413883,0.844157267,-21.69799614,2,control,-70
2020_02_13_0016,-211.3036957,-10.65063477,47.32524894,938.9111748,891.5859258,1.02205503,1.146333741,-35.15624619,2,control,-70
2020_02_13_0016,-213.2517395,-12.12056255,46.89293519,825.0442136,778.1512784,0.617192626,0.793152493,-23.44258499,2,control,-70
2020_02_13_0016,-213.0635376,-17.27803421,46.93435636,578.7695451,531.8351887,0.563593626,1.05971481,-21.55558014,2,control,-70
2020_02_13_0016,-210.0880737,-13.88549614,47.59908462,720.1759231,672.5768385,0.572912633,0.85181737,-19.15995026,2,control,-70
2020_02_13_0016,-210.4339447,-12.83263969,47.52085037,779.2628982,731.7420479,0.597047269,0.815925873,-25.16174126,2,control,-70
2020_02_13_0016,-210.6017914,-15.72163677,47.48297692,636.0660881,588.5831112,0.394148648,0.669656741,-23.40698051,2,control,-70
2020_02_13_0017,-208.5603333,-12.59825134,47.94775614,793.7609536,745.8131975,0.705643117,0.946139221,-20.56563377,2,control,-70
2020_02_13_0017,-208.5314178,-10.92575169,47.95440468,915.2688334,867.3144287,0.63665545,0.734053797,-19.9841938,2,monochromator,-70
2020_02_13_0017,-210.4106598,-13.97773743,47.52610923,715.4233689,667.8972597,0.599266529,0.897243581,-20.18014908,2,monochromator,-70
2020_02_13_0017,-208.3001251,-12.12442493,48.00765239,824.7813858,776.7737335,0.633412957,0.815440752,-26.19692993,2,monochromator,-70
2020_02_13_0017,-206.8127899,-9.098138809,48.35290895,1099.125899,1050.77299,0.66477412,0.632652463,-22.06902504,2,monochromator,-70
2020_02_13_0017,-206.125351,-9.452647209,48.51416846,1057.90471,1009.390541,0.66729635,0.661088372,-21.29162979,2,monochromator,-70
2020_02_13_0017,-207.2657471,-12.5025692,48.24723883,799.8356051,751.5883662,0.627857089,0.835373613,-19.2967453,2,monochromator,-70
2020_02_13_0019,-274.7441711,-33.56510544,36.39749647,297.9284548,261.5309584,0.653863013,2.167375383,-113.8055878,3,control,-70
2020_02_13_0019,-269.8641357,-32.79830551,37.05568349,304.8938,267.8381165,0.623349726,2.135065674,-114.6573105,3,control,-70
2020_02_13_0019,-278.5810852,-32.58818054,35.89619156,306.8597213,270.9635298,0.604422808,2.048809723,-118.2694778,3,control,-70
2020_02_13_0019,-267.6724243,-31.86444473,37.35909676,313.8294134,276.4703167,0.642208755,2.288611141,-113.7972641,3,control,-70
2020_02_13_0019,-263.7717285,-32.41665649,37.91156867,308.4833873,270.5718186,0.622144043,2.293649386,-114.76828,3,control,-70
2020_02_13_0019,-270.4689636,-34.92102814,36.97281886,286.3604119,249.387593,0.64056325,2.351339053,-116.8601227,3,control,-70
2020_02_13_0019,-261.2942505,-32.58227158,38.27102962,306.915372,268.6443423,0.703874469,2.461501356,-113.7057114,3,control,-70
2020_02_13_0019,-254.3834076,-39.2583847,39.31074001,254.7226554,215.4119154,0.599305511,2.764024124,-113.1702728,3,control,-70
2020_02_13_0019,-248.4047394,-32.41460419,40.25688087,308.5029187,268.2460378,0.636504948,2.365976717,-114.1440582,3,control,-70
2020_02_13_0019,-245.6054382,-32.60868835,40.71571082,306.6667353,265.9510245,0.654232323,2.433024885,-119.6288986,3,control,-70
2020_02_13_0019,-243.0253296,-33.41999817,41.14797423,299.2220391,258.0740649,0.595433176,2.441325253,-118.7910538,3,control,-70
2020_02_13_0020,-237.9434967,-32.37351608,42.02678425,308.8944671,266.8676829,0.66798979,1.992668005,-112.0320587,3,control,-70
2020_02_13_0020,-240.9728699,-34.48736954,41.49844754,289.9612274,248.4627798,0.708829701,2.17686125,-109.6130295,3,monochromator,-70
2020_02_13_0020,-236.3240356,-34.11816788,42.31478179,293.098974,250.7841922,0.692567647,2.184311621,-116.092926,3,monochromator,-70
2020_02_13_0020,-226.6723328,-27.19869423,44.11654426,367.664709,323.5481648,0.64896071,1.535864833,-116.2231369,3,monochromator,-70
2020_02_13_0020,-230.5379028,-34.12678146,43.37681517,293.0249959,249.6481808,0.68888092,2.304044898,-108.5733948,3,monochromator,-70
2020_02_13_0020,-224.5645905,-27.25589943,44.53061803,366.8930474,322.3624293,0.688296735,1.792725982,-107.9549103,3,monochromator,-70
2020_02_13_0020,-218.5628052,-30.8294487,45.75343912,324.3651905,278.6117514,0.750219762,2.00961805,-105.533844,3,monochromator,-70
2020_02_13_0020,-219.0999146,-34.59065628,45.6412775,289.0954112,243.4541337,0.732462168,2.288725145,-134.9039612,3,monochromator,-70
2020_02_13_0020,-213.950592,-35.00629425,46.73976316,285.6629133,238.9231502,0.740757465,2.192143214,-149.3306274,3,monochromator,-70
2020_02_13_0020,-216.1641235,-36.80335999,46.26114564,271.7143218,225.4531762,0.788619518,2.760721614,-138.2059631,3,monochromator,-70
2020_02_13_0021,-210.9525146,-34.62554932,47.40403316,288.8040825,241.4000493,0.910082579,3.626349798,-140.6099548,3,control,-70
2020_02_13_0021,-212.3121796,-31.99998665,47.10045378,312.5001304,265.3996766,0.935813546,3.070909603,-140.2268524,3,control,-70
2020_02_13_0021,-209.3393097,-33.59397125,47.76933685,297.6724581,249.9031213,0.876292348,3.261089189,-136.1196442,3,control,-70
2020_02_13_0021,-210.4529572,-33.02018356,47.51655731,302.845076,255.3285187,0.898265302,3.436193274,-133.541153,3,control,-70
2020_02_13_0021,-212.6896667,-33.20323563,47.01685866,301.1754671,254.1586085,0.906916618,3.443116944,-138.6286621,3,control,-70
2020_02_13_0021,-207.0988464,-32.78245163,48.2861212,305.0412493,256.7551281,0.873686969,3.214377496,-139.5808105,3,control,-70
2020_02_13_0021,-209.0557251,-33.82021713,47.83413607,295.6811294,247.8469934,0.797535121,3.178126228,-137.9901428,3,control,-70
2020_02_13_0021,-213.994873,-31.79417992,46.73009151,314.5229733,267.7928818,0.846969187,2.930809797,-142.5724792,3,control,-70
2020_02_13_0021,-212.5544434,-34.88471222,47.04676996,286.6585207,239.6117507,0.946969688,3.610633247,-140.7170105,3,control,-70
2020_02_13_0021,-209.7336884,-37.40632248,47.67951243,267.3344862,219.6549738,0.828040779,3.802848972,-139.6315155,3,control,-70
2020_02_13_0021,-207.784317,-30.0427742,48.12682759,332.8587411,284.7319135,1.013777971,3.388889706,-144.388504,3,control,-70
2020_02_13_0021,-205.3635712,-34.64466095,48.6941279,288.6447645,239.9506366,0.812792659,3.38544169,-133.1373749,3,control,-70
2020_02_13_0021,-204.6574402,-33.71593094,48.86213758,296.5956959,247.7335583,0.857002318,3.440449874,-134.9421387,3,control,-70
2020_02_13_0021,-201.1793671,-30.73332787,49.70688667,325.3796674,275.6727808,0.961689711,3.193910792,-140.7395477,3,control,-70
2020_02_13_0021,-199.1699066,-34.44680786,50.20838825,290.3026614,240.0942732,0.911012292,3.637514948,-134.4482269,3,control,-70
2020_02_13_0021,-198.2215118,-35.70285797,50.44861129,280.0896222,229.6410109,0.853244364,3.578752083,-136.9835358,3,control,-70
2020_02_13_0021,-197.9078827,-37.77319336,50.52855836,264.7380089,214.2094505,0.716590881,3.356025023,-135.4661102,3,control,-70
2020_02_13_0021,-194.7378082,-36.72140121,51.35109659,272.3207631,220.9696665,0.952326,4.123166494,-136.6830597,3,control,-70
2020_02_13_0021,-196.542572,-35.09383392,50.87956211,284.9503426,234.0707805,0.868163228,3.614598275,-135.7327881,3,control,-70
2020_02_13_0021,-195.8176727,-35.97019958,51.06791364,278.0079098,226.9399961,0.935094595,3.937250093,-134.8707733,3,control,-70
2020_02_13_0021,-193.0194397,-35.99394989,51.80825318,277.8244686,226.0162154,0.93473047,4.066581138,-134.9834595,3,control,-70
2020_02_13_0021,-188.8540192,-33.42980957,52.95095145,299.1342197,246.1832682,0.969944894,3.883442854,-131.4584503,3,control,-70
2020_02_13_0021,-191.0475311,-34.68266296,52.34299517,288.3284946,235.9854994,0.957280457,3.951627913,-135.002243,3,control,-70
2020_02_13_0021,-186.3468933,-36.53072739,53.66335774,273.7421539,220.0787962,0.962717533,4.213877519,-129.8151855,3,control,-70
2020_02_13_0021,-187.24646,-28.28219986,53.40554904,353.5792848,300.1737358,1.049575925,3.181734655,-138.9253845,3,control,-70
2020_02_13_0021,-187.3741608,-33.40760422,53.36915164,299.3330481,245.9638965,0.902043521,3.754472623,-129.7644806,3,control,-70
2020_02_13_0021,-185.1487122,-33.53740311,54.01063763,298.1745476,244.16391,0.986344337,4.006273418,-126.9850388,3,control,-70
2020_02_13_0022,-182.9284515,-25.49105644,54.66618186,392.2944513,337.6282694,0.968043387,3.187295583,-137.8722992,3,control,-70
2020_02_13_0022,-183.4503021,-33.93637848,54.5106761,294.669038,240.1583619,0.882333398,3.87572564,-132.5897064,3,control,-70
2020_02_13_0022,-185.6262054,-33.89281845,53.87170403,295.0477552,241.1760511,0.80387944,3.375673306,-128.826889,3,control,-70
2020_02_13_0022,-181.3171234,-32.44684219,55.15198902,308.1964014,253.0444124,0.800410569,3.102797307,-131.0607758,3,control,-70
2020_02_13_0022,-182.897934,-33.18426132,54.67530323,301.3476751,246.6723719,0.913777888,3.80436404,-133.1420746,3,control,-70
2020_02_13_0022,-183.4289398,-32.71650696,54.51702447,305.6561024,251.1390779,0.877442002,3.446248834,-132.4889984,3,control,-70
2020_02_13_0022,-182.3272552,-31.49275398,54.84643525,317.5333604,262.6869251,0.904098034,3.406465403,-133.590683,3,control,-70
2020_02_13_0022,-182.0129242,-32.70985031,54.94115346,305.7183052,250.7771517,0.860133767,3.491021518,-134.0270844,3,control,-70
2020_02_13_0022,-181.1096039,-33.57099915,55.21518343,297.8761507,242.6609672,0.866240263,3.490933302,-135.9069672,3,control,-70
2020_02_13_0022,-182.3974457,-32.66157532,54.82532917,306.1701679,251.3448388,0.912844002,4.003733435,-133.3984222,3,control,-70
2020_02_13_0022,-182.2234955,-34.56282043,54.87766533,289.3282398,234.4505745,0.799799144,3.425266521,-135.1592865,3,control,-70
2020_02_13_0022,-180.163559,-33.25750351,55.50512022,300.6840245,245.1789043,0.844757736,3.168936016,-132.0922699,3,control,-70
2020_02_13_0022,-180.3619232,-32.33503723,55.44407501,309.2620531,253.8179781,0.893918812,3.776956297,-132.6263275,3,control,-70
2020_02_13_0024,-173.6108551,-36.3058815,57.60008494,275.437466,217.837381,0.883219898,4.673784878,-125.0557938,3,control,-70
2020_02_13_0024,-171.1446228,-32.06074142,58.43011505,311.9079458,253.4778308,0.887821019,3.652654117,-125.231926,3,control,-70
2020_02_13_0024,-176.0460663,-51.72321701,56.8033141,193.3367756,136.5334615,0.953621268,8.418848985,-120.2026291,3,control,-70
2020_02_13_0024,-170.552887,-32.86887741,58.63283922,304.2391705,245.6063313,0.909566402,4.436754423,-123.1166229,3,control,-70
