file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0006,-284.1768188,-38.09122467,35.18935866,262.5276579,227.3382993,0.387847453,1.706036575,104.9776077,1,monochromator,-10,0.229849099,0.670836487
2020_02_13_0006,-279.2814636,-31.73508263,35.80617156,315.1086801,279.3025086,0.35337621,1.265209581,93.73458862,1,monochromator,-10,0.424985683,0.305382686
2020_02_13_0006,-282.2345276,-41.36133575,35.43152599,241.7716889,206.3401629,0.374723583,1.816047725,102.7911835,1,monochromator,-10,0.150996661,0.762037783
2020_02_13_0006,-279.4794006,-35.5259552,35.78081239,281.4843385,245.7035261,0.382496029,1.556738054,88.19522095,1,monochromator,-10,0.298814405,0.547065228
2020_02_13_0006,-284.1676941,-37.98443604,35.1904886,263.2657226,228.075234,0.479662418,2.103088573,86.78000641,1,monochromator,-10,0.232616444,1
2020_02_13_0006,-279.2518005,-34.21193314,35.80997501,292.2956724,256.4856974,0.398972094,1.555533498,94.92562866,1,monochromator,-10,0.339303736,0.546066629
2020_02_13_0006,-288.8542786,-36.22164154,34.61953221,276.0780455,241.4585133,0.420432359,1.741219861,98.79080963,1,monochromator,-10,0.282873486,0.700004087
2020_02_13_0006,-283.7284546,-32.87805939,35.24496693,304.1542045,268.9092376,0.392653078,1.46016954,100.3788681,1,monochromator,-10,0.385956755,0.467008129
2020_02_13_0006,-281.4781494,-37.49623108,35.52673634,266.6934706,231.1667342,0.365401208,1.580682487,98.37269592,1,monochromator,-10,0.244225681,0.56691561
2020_02_13_0006,-289.175415,-34.08103943,34.58108636,293.4182809,258.8371945,0.359516799,1.388968846,89.59047699,1,monochromator,-10,0.348134105,0.407981425
2020_02_13_0009,-439.552887,-11.11842823,22.7503909,899.4077034,876.6573125,0.183271453,0.20905712,-19.18732071,2,control,-70,0.478084004,0.007692241
2020_02_13_0009,-418.1673279,-11.28905201,23.91387211,885.8139719,861.9000998,0.194016635,0.225103391,-20.18713379,2,control,-70,0.464564265,0.024680651
2020_02_13_0009,-405.1794434,-10.74514866,24.68042287,930.6525501,905.9721272,0.199387074,0.220080803,-23.53147316,2,control,-70,0.50494061,0.019363167
2020_02_13_0009,-395.1987305,-10.52289295,25.30372501,950.3090116,925.0052866,0.203345373,0.21983158,-22.64791679,2,control,-70,0.522377735,0.019099311
2020_02_13_0009,-385.4621582,-9.57539463,25.94288385,1044.343381,1018.400497,0.205504537,0.201791473,-23.22920418,2,control,-70,0.607941243,0
2020_02_13_0009,-381.5472107,-11.02433777,26.20907641,907.0839637,880.8748873,0.213137686,0.241961361,-23.11585236,2,control,-70,0.481947912,0.042528418
2020_02_13_0009,-375.8883667,-26.21798897,26.60364322,381.4175074,354.8138641,0.210887074,0.594359736,-23.03737831,2,control,-70,0,0.415617465
2020_02_13_0009,-370.2750854,-12.88194942,27.00694806,776.2800233,749.2730753,0.206058383,0.27501106,-21.69266701,2,control,-70,0.361381636,0.077518592
2020_02_13_0009,-353.5233459,-11.61879063,28.28667502,860.6747743,832.3880993,0.232904434,0.279802696,-19.64556885,2,control,-70,0.437527008,0.082591564
2020_02_13_0009,-346.6719055,-9.603491783,28.84571793,1041.287922,1012.442204,0.222302064,0.219570128,-18.44036674,2,control,-70,0.602482585,0.018822509
2020_02_13_0009,-345.778656,-9.446258545,28.92023503,1058.620188,1029.699953,0.226018146,0.219499035,-16.15978241,2,control,-70,0.618293177,0.018747241
2020_02_13_0009,-337.1640015,-9.24007225,29.65915684,1082.24262,1052.583463,0.233110294,0.221464902,-16.22953796,2,control,-70,0.639257779,0.020828532
2020_02_13_0009,-332.8004456,-10.48459721,30.04803669,953.7800836,923.7320469,0.239521638,0.259297746,-16.07646561,2,control,-70,0.521211263,0.060882689
2020_02_13_0013,-251.5055084,-9.318033218,39.76056056,1073.187846,1033.427286,0.4061535,0.393016041,-13.75325394,2,control,-70,0.621707953,0.202452102
2020_02_13_0013,-250.5085907,-9.358722687,39.9187907,1068.521884,1028.603094,0.42495352,0.413136537,-13.28531837,2,control,-70,0.617288296,0.223753951
2020_02_13_0013,-249.7812653,-9.782336235,40.03502821,1022.250693,982.2156653,0.430567473,0.438363476,-13.76851273,2,control,-70,0.574790708,0.250462061
2020_02_13_0013,-248.4283142,-10.29532242,40.25306065,971.3148937,931.061833,0.427432269,0.459080432,-13.90075588,2,control,-70,0.527926406,0.27239539
2020_02_13_0013,-245.4325104,-9.409585953,40.74439847,1062.746018,1022.001619,0.396383762,0.387850425,-13.84480667,2,control,-70,0.611240391,0.196983193
2020_02_13_0013,-247.0855408,-8.81303978,40.4718138,1134.682272,1094.210458,0.426854312,0.390102571,-13.65661526,2,control,-70,0.677394121,0.199367571
2020_02_13_0013,-247.014328,-9.369622231,40.48348159,1067.278889,1026.795407,0.439038426,0.427581213,-13.23954201,2,control,-70,0.615632193,0.239046729
2020_02_13_0013,-246.1089783,-9.46698761,40.6324063,1056.302217,1015.669811,0.442398697,0.435573345,-14.75524807,2,control,-70,0.60543954,0.24750811
2020_02_13_0013,-244.2931824,-9.839737892,40.9344211,1016.287233,975.3528123,0.441432297,0.452587301,-14.12963772,2,control,-70,0.568503343,0.265521022
2020_02_13_0013,-246.2157898,-9.966168404,40.61477945,1003.394644,962.7798648,0.440462202,0.457490043,-13.30566311,2,control,-70,0.556984707,0.270711623
