,file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
25,2020_02_13_0003,-255.5238037,-39.01004791,39.135297200000004,256.3442122,217.208915,0.307739943,1.416792415,97.18120575,1,control,-10,0.19181112090673835,0.4310476828938985
26,2020_02_13_0003,-243.0891418,-39.85768127,41.13717266,250.89266809999998,209.7554955,0.354525954,1.690186723,110.9098587,1,control,-10,0.16382195607013883,0.657696664105621
27,2020_02_13_0003,-252.44787599999998,-38.333965299999996,39.6121376,260.8652646,221.253127,0.324809313,1.468043943,97.36668396,1,control,-10,0.20699799134951358,0.473536155648584
28,2020_02_13_0003,-251.23777769999998,-42.49496841,39.80293128,235.3219775,195.5190462,0.316632807,1.6194473809999999,101.8955841,1,control,-10,0.1103610813473902,0.5990524300205147
29,2020_02_13_0003,-247.2153625,-44.16829681,40.45056058,226.40673790000002,185.9561773,0.264623612,1.42304287,99.04348755,1,control,-10,0.07445048837018142,0.4362294266844815
30,2020_02_13_0003,-250.8680267,-41.15644836,39.86159628,242.9752906,203.11369430000002,0.306025714,1.506671989,96.49515533,1,control,-10,0.13888058941303283,0.5055595263476533
31,2020_02_13_0003,-246.10021969999997,-36.61719131,40.63385238,273.0957684,232.4619161,0.316022843,1.359460717,103.7190704,1,control,-10,0.24908936239586077,0.3835186357901157
32,2020_02_13_0003,-251.7903442,-47.82905197,39.71558175,209.0779471,169.36236540000002,0.288209289,1.701731602,110.68748470000001,1,control,-10,0.012137219066524763,0.6672675841540463
33,2020_02_13_0003,-254.4640961,-45.67453003,39.2982749,218.94040269999996,179.64212780000003,0.315822423,1.75806436,103.53265379999999,1,control,-10,0.05073989858760608,0.7139684913636672
34,2020_02_13_0003,-247.68182369999997,-40.20646667,40.37437972,248.71620980000003,208.3418301,0.321320802,1.5422769490000001,110.6713943,1,control,-10,0.15851334384129578,0.5350767023602723
35,2020_02_13_0005,-291.1447144,-39.49679947,34.34718031,253.18507160000001,218.83789130000002,0.366599113,1.675208579,90.9633255,1,control,-10,0.1979282710517979,0.6452795033282923
36,2020_02_13_0005,-288.794342,-35.51677704,34.62671716,281.557079,246.9303619,0.361879945,1.4655141719999998,87.85600281,1,control,-10,0.3034214329878362,0.4714389282993994
37,2020_02_13_0005,-290.49203489999996,-39.41783905,34.42435178,253.6922429,219.26789109999999,0.37084648,1.691294052,90.7201004,1,control,-10,0.19954301114282647,0.6586146605026644
38,2020_02_13_0005,-292.2412415,-35.03911591,34.21830523,285.3953287,251.17702340000002,0.36886939399999996,1.4685634419999998,93.59694672,1,control,-10,0.3193685440727203,0.4739668300102846
39,2020_02_13_0005,-287.8001404,-36.29869843,34.74633468,275.49197169999997,240.74563700000002,0.342482448,1.422590465,92.59487915,1,control,-10,0.2801964843994572,0.43585437450034803
40,2020_02_13_0005,-291.5038757,-38.86718369,34.30486121,257.2864574,222.98159619999998,0.364837766,1.636178823,96.96208191,1,control,-10,0.21348875835300563,0.6129231075457509
41,2020_02_13_0005,-293.1888733,-39.94182587,34.10770637,250.3641179,216.2564115,0.374879956,1.733497535,82.4238739,1,control,-10,0.18823426903774887,0.693602135170704
42,2020_02_13_0005,-287.2723389,-37.18081284,34.81017365,268.9559275,234.14575380000002,0.36780136799999996,1.5708222859999998,92.62676239,1,control,-10,0.25541252868797426,0.5587413192161406
43,2020_02_13_0005,-283.9679871,-33.33323669,35.21523712,300.00086980000003,264.7856326,0.332312167,1.255023407,84.94999695,1,control,-10,0.3704717465820736,0.2969381576332961
44,2020_02_13_0005,-285.638855,-36.19430161,35.00924271,276.2865854,241.27734269999996,0.315041482,1.3057234420000001,94.35578918,1,control,-10,0.2821931516314382,0.3389694324034669
45,2020_02_13_0006,-277.85882569999995,-34.81277466,35.98949926,287.2508755,251.26137630000002,0.373449624,1.486299363,81.56977081,1,control,-10,0.31968530703266707,0.488670239364007
46,2020_02_13_0006,-280.17245479999997,-39.03477478,35.69230246,256.18182909999996,220.48952659999998,0.44757145600000003,2.029898941,102.4380875,1,monochromator,-10,0.20413051052881181,0.9393244297973429
47,2020_02_13_0006,-278.8416443,-41.51664352,35.86264894,240.86725589999998,205.004607,0.40751600299999996,1.9878382669999999,100.8631516,1,monochromator,-10,0.14598136607694112,0.9044553464542531
48,2020_02_13_0006,-280.05664060000004,-37.66979218,35.70706261,265.46469790000003,229.7576353,0.368566781,1.60415466,99.63674927,1,monochromator,-10,0.2389342166837951,0.5863744790420873
49,2020_02_13_0006,-284.17681880000004,-38.09122467,35.18935866,262.5276579,227.33829930000002,0.38784745299999995,1.706036575,104.97760770000001,1,monochromator,-10,0.2298490988933476,0.670836487075734
